CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Surfrider Foundation Europe,"via luigi sturzo, marina di Gioiosa Jonica RC, Italy, 89046 Marina di Gioiosa Ionica, Italie",IT,Mediterranean Sea,89,,,20150322,2015,Cleanup,16.3344,38.3022,16.3354,38.3022
Surfrider Foundation Europe,"5 Calle P_roco Don Claudio Rodal Fandi_, 36794 Oya, Espagne",ES,North-east Atlantic Ocean,83,,,20150322,2015,Cleanup,-8.87742,42.0034,-8.87642,42.0034
Surfrider Foundation Europe,"D19A Saint-Vincent-sur-Jard, 85520 Saint-Vincent-sur-Jard, France",FR,North-east Atlantic Ocean,76,,,20150322,2015,Cleanup,-1.54662,46.4069,-1.54562,46.4069
Surfrider Foundation Europe,"16 Boulevard de la Mer, 29217 Plougonvelin, France",FR,North-east Atlantic Ocean,73,,,20150322,2015,Cleanup,-4.70236,48.3482,-4.70136,48.3482
Surfrider Foundation Europe,"32 Via Cartagine, 00058 Santa Marinella, Italie",IT,Mediterranean Sea,83,,,20150322,2015,Cleanup,11.9563,42.0172,11.9573,42.0172
Surfrider Foundation Europe,"10 Boulevard de Verdun, 44600 Saint-Nazaire, France",FR,North-east Atlantic Ocean,75,,,20150322,2015,Cleanup,-2.20511,47.2711,-2.20411,47.2711
Surfrider Foundation Europe,"31 Rue de la Boutinardi?re, 44760 La Bernerie-en-Retz, France",FR,North-east Atlantic Ocean,75,,,20150322,2015,Cleanup,-2.05312,47.0947,-2.05212,47.0947
Surfrider Foundation Europe,"2 SP366, 73026 San Foca, Italie",IT,Mediterranean Sea,86,,,20150322,2015,Cleanup,18.4099,40.2979,18.4109,40.2979
Surfrider Foundation Europe,"CNCG route du Goisil, 17670 La Couarde-sur-Mer, France",FR,North-east Atlantic Ocean,77,,,20150322,2015,Cleanup,-1.42621,46.2053,-1.42521,46.2053
Surfrider Foundation Europe,"Eichenpark, 20149 Hamburg, Allemagne",Int,,65,,,20150322,2015,Cleanup,9.99484,53.605,9.99584,53.605
